,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
0,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:25,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cuellarrhics,708,TRUE,FALSE,,
1,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:25,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OregonOHPoilec,708,TRUE,FALSE,,
2,RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottvâ¦,FALSE,0,,02-08-2017 14:25,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SmallCpAnalyst,2,TRUE,FALSE,,
3,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:25,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WidditmSaa,708,TRUE,FALSE,,
4,"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the companyâs delivery schedule. https://t.co/â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",willyvero,2,TRUE,FALSE,,
5,$AAPL Im still waiting.,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TraderMichigan,0,FALSE,FALSE,,
6,"WE're IN $AAPL puts this am
I like the after earnings play.. https://t.co/yP6E6mvesN",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PipsToDollars,0,FALSE,FALSE,,
7,$AAPL Holding $156.68 targets $168.53. Otherwise my annual pivot of $151.69 remains magnet. https://t.co/hEp3jActtC https://t.co/0H719ITYsf,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Suttmeier,0,FALSE,FALSE,,
8,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",XT_kUINN,703,TRUE,FALSE,,
9,RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottvâ¦,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wallstreetnsidr,1,TRUE,FALSE,,
10,Imagine if $AAPL threw its weight behind blockchain í ¾í´,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",wboscoho,0,FALSE,FALSE,,
11,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GANDJMDAEI,703,TRUE,FALSE,,
12,$SPY $DIA $QQQ $VIX $VXX $UVXY TRUMP-CRAPPLE TOP $AAPL  https://t.co/jqByIFKURs,FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nobullshytrader,0,FALSE,FALSE,,
13,$NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghiâ¦ https://t.co/wNq2ygKsBf,FALSE,2,,02-08-2017 14:24,TRUE,,8.92753E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stockpicklist,2,FALSE,FALSE,,
14,"Comment: Apple's guidance suggests iPhone 8 will go on sale in September, with constrained supplyâ¦ https://t.co/MM5xe3PLOO",FALSE,0,,02-08-2017 14:24,TRUE,,8.92753E+17,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MacHashNews,0,FALSE,FALSE,,
15,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BethanyGarladn,703,TRUE,FALSE,,
16,"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",InfinitusCap,24,TRUE,FALSE,,
17,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:24,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aMdcapTheatre,703,TRUE,FALSE,,
